Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Base Currency, Plan Type (Plan1), Aggregation (Plan1), BusinessLine, Attribute_ByNature, Attribute_city
EN109, END02, 新闻客户端, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN120, END02, 手机搜狐网, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN121, END02, 移动应用探索中心及移动质量保证中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN110, EN1, SP业务, false, store, false, , , , , unspecified, CNY, true, +, Attri_Mobile, Attri_PD, Attri_北京
END03, EN1, Corporate, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN112, END03, 呼叫中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_SM, Attri_北京
EN114, END03, 技术中心, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN11499, EN114, 技术中心缺省, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN11400, EN114, 技术中心_缺省, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11401, EN114, 支付平台产品部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11402, EN114, 北京研发中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11403, EN114, 技术运维部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11404, EN114, ERP部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11409, EN114, MIS部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11405, EN114, 搜狐采购部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11406, EN114, 武汉研发中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_武汉
EN10401, EN114, 大数据中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN11408, EN114, 家庭娱乐事业部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN115, END03, Back office, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN11599, EN115, Back office adj, false, store, false, , , , , unspecified, CNY, true, +, , Attri_GA, Attri_北京
EN11504, EN115, 投资者关系部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11507, EN115, 员工服务中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11501, EN115, 财务部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11505, EN115, 内部审计部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11506, EN115, 人力资源部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11503, EN115, 集团管理部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11502, EN115, 法律部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
EN11508, EN115, 农场, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, Attri_北京
