Spare2, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Aggregation (Plan1)
SP23S126, SP23, 上海办公室(瑞安广场)_上海电信(桂桥), false, store, false, DGPT接口, , , , unspecified, +
SP23S112, SP23, 广州东莞联通(科学城), false, store, false, DGPT接口, , , , unspecified, +
SP23S114, SP23, 搜狐媒体大厦至武汉研究院10M 移动网络专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S115, SP23, 搜狐媒体大厦至上海分公司10M 移动专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S121, SP23, 光10734 北京联通北显_北京联通皂君庙光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S141, SP23, 上海电信（桂桥）云景, false, store, false, DGPT接口, , , , unspecified, +
SP23S124, SP23, 融科物业管井租用合同_融科AC互联及50M互联网, false, store, false, DGPT接口, , , , unspecified, +
SP23S154, SP23, 腾讯云CDN, false, store, false, DGPT接口, , , , unspecified, +
SP23S131, SP23, 网宿CDN（静态内容), false, store, false, DGPT接口, , , , unspecified, +
SP23S159, SP23, 济南担山屯机房至上海桂桥机房10G以太专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S162, SP23, 北京移动国际信息港, false, store, false, DGPT接口, , , , unspecified, +
SP23S165, SP23, 上海桂桥机房至广州人民中路机房10G以太专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S164, SP23, 深圳证券交易所至广州人民中路机房2M专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S106, SP23, 上海电信南汇_上海电信桂桥互联裸光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S108, SP23, 融科C至搜狐网络大厦3对点对点光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S109, SP23, 融科物业管井租用合同_RKC10F至19F及RKC至RKD, false, store, false, DGPT接口, , , , unspecified, +
SP23S11, SP23, 昆明电信, false, store, false, DGPT接口, , , , unspecified, +
SP23S127, SP23, 重庆, false, store, false, DGPT接口, , , , unspecified, +
SP23S128, SP23, 广西南宁电信IDC（第二节点）, false, store, false, DGPT接口, , , , unspecified, +
SP23S135, SP23, 光12614&光12615&光12616 北京联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S137, SP23, 北美电信, false, store, false, DGPT接口, , , , unspecified, +
SP23S139, SP23, 中国电信云计算, false, store, false, DGPT接口, , , , unspecified, +
SP23S140, SP23, 北京电信兆维三层机房至广州电信人民中路机房POS 2.5G数, false, store, false, DGPT接口, , , , unspecified, +
SP23S142, SP23, 蓝汛-搜狐支付, false, store, false, DGPT接口, , , , unspecified, +
SP23S143, SP23, 广州联通机房至广州Office裸光, false, store, false, DGPT接口, , , , unspecified, +
SP23S144, SP23, 广州联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S145, SP23, 搜狐媒体大厦至武汉研究院10M 移动络专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S146, SP23, 网宿北美, false, store, false, DGPT接口, , , , unspecified, +
SP23S150, SP23, 上海焦点, false, store, false, DGPT接口, , , , unspecified, +
SP23S152, SP23, 高升CDN, false, store, false, DGPT接口, , , , unspecified, +
SP23S155, SP23, 北京移动, false, store, false, DGPT接口, , , , unspecified, +
SP23S156, SP23, 搜狐媒体大厦至上海焦点10M移动专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S157, SP23, 搜狐网络大厦至济南担山屯机房10G以太专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S158, SP23, 搜狐媒体大厦至上海桂桥机房10G以太专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S160, SP23, 上海办公室(瑞安广场)_上海电信南汇_上海电信桂桥裸光, false, store, false, DGPT接口, , , , unspecified, +
SP23S161, SP23, 北京联通皂君庙一个千兆端口, false, store, false, DGPT接口, , , , unspecified, +
SP23S18, SP23, 上海电信华京, false, store, false, DGPT接口, , , , unspecified, +
SP23S34, SP23, 光1889 北京联通土城 _ 北京电信兆维, false, store, false, DGPT接口, , , , unspecified, +
