Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AVD10305010402, AVD103050104, 电视台版权_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050108, AVD10305, 综艺节目, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305010801, AVD103050108, 综艺节目_committed, false, store, false, , , "DGPT, AE1700_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305010802, AVD103050108, 综艺节目_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD103050105, AVD10305, 图文版权, false, store, false, , , , , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010501, AVD103050105, 图文版权_committed, false, store, false, , , "DGPT, AE1700_Budget", , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010502, AVD103050105, 图文版权_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050106, AVD10305, 原创节目, false, store, false, , , , , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010601, AVD103050106, 原创节目_committed, false, store, false, , , "DGPT, AE1700_Budget", , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010602, AVD103050106, 原创节目_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050107, AVD10305, 自制剧, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305010701, AVD103050107, 自制剧_committed, false, store, false, , , "DGPT, AE1700_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305010702, AVD103050107, 自制剧_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD103050201, AVD10305, 销售型剧与节目, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305020101, AVD103050201, 销售型剧与节目_committed, false, store, false, , , "AD1001, DGPT", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305020102, AVD103050201, 销售型剧与节目_uncommitted, false, store, false, , , "AD1001, DGPT", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD103050202, AVD10305, 稿酬, false, store, false, , , "DGPT, AE1705", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050203, AVD10305, 其他内容, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305020301, AVD103050203, 视频内容, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030502030101, AVD10305020301, 视频内容_committed, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030502030102, AVD10305020301, 视频内容_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305020302, AVD103050203, 频道项目, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030502030201, AVD10305020302, 频道项目_committed, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
