Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Base Currency, Plan Type (Plan1), Aggregation (Plan1), Attribute_Bizline, Attribute_ByNature, Attribute_city
EN205, EN2, 新房_加盟站, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN202, EN2, 家居_焦点, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN20201, EN202, 华北区_家居_13, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20202, EN202, 华东区_家居_13, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_上海
EN20203, EN202, 华南区_家居_13, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_广州
EN20205, EN202, 后台_家居_13, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20206, EN202, 家居_广告媒体中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20207, EN202, 家居_网站运营部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20209, EN202, 家居_策略部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20208, EN202, 家居_设计师部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20204, EN202, 家居_装修服务中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN201, EN2, 二手房_焦点, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN20101, EN201, 二手房_北京, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20103, EN201, 二手房_天津, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_天津
EN20102, EN201, 二手房_上海, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_上海
EN20107, EN201, 二手房_深圳, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_深圳
EN20106, EN201, 二手房_广州, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_广州
EN20104, EN201, 二手房_成都, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_成都
EN20109, EN201, 二手房_重庆, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_重庆
EN20110, EN201, 二手房_苏州, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_苏州
EN20111, EN201, 二手房_石家庄, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_石家庄
EN20112, EN201, 二手房_昆明, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_昆明
EN20108, EN201, 二手房_后台, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN204, EN2, 全国支持_焦点, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN20403, EN204, 全国支持_经营管理中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20404, EN204, 全国支持_市场部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20401, EN204, 全国支持_产品部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN20402, EN204, 移动事业部_全国支持, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN20406, EN204, 思源_全国支持_13, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN20405, EN204, 全国支持_管理部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_GA, Attri_北京
EN20407, EN204, 员工服务中心_全国支持, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_GA, Attri_北京
EN20408, EN204, 财务/法律/人事_全国支持, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_GA, Attri_北京
EN5, Entity, 分摊中转部门, false, store, false, , , , , unspecified, CNY, true, ~, , , 
EN501, EN5, 大搜狐_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN508, EN5, 体育中心_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, ~, , , 
EN502, EN5, 汽车_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN503, EN5, 焦点_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN504, EN5, 视频_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN507, EN5, 视频_PC端_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN506, EN5, 视频_移动端_分摊中转部门, false, store, false, , , , , unspecified, CNY, true, +, , , 
NoEntity, Entity, 与部门无关, false, store, false, , , , , unspecified, CNY, true, ~, , , 
