Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
ASH1030501, ASH10305, 图文采购, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103050101, ASH1030501, 图文采购_committed, false, store, false, , , "DGPT, AE1701", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103050102, ASH1030501, 图文采购_uncommitted, false, store, false, , , "DGPT, AE1701", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030502, ASH10305, 稿酬费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103050201, ASH1030502, 专家, false, store, false, , , "DGPT, AE1705", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103050202, ASH1030502, 普通, false, store, false, , , "DGPT, AE1705", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030503, ASH10305, 内容活动, false, store, false, , , "DGPT, AE1703", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030598, ASH10305, 内容采购费用_VAT抵减, false, store, false, , , AE1789, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030599, ASH10305, 内容采购费用_整体调整, false, store, false, , , AE1700_Eli, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10306, ASH103, 通讯费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030601, ASH10306, 带宽费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103060101, ASH1030601, 公司分摊带宽费用, false, store, false, , , AE2603, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103060102, ASH1030601, 部门自有带宽费用, false, store, false, , , AE2502, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030602, ASH10306, 电话费用, false, store, false, , , AE2501, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10307, ASH103, 坏账费用, false, store, false, , , AE2000, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10308, ASH103, 折旧费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030801, ASH10308, 员工类折旧费用, false, store, false, , , AE2100_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030802, ASH10308, 服务器类折旧费用, false, store, false, , , AE2604, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030803, ASH10308, 软件类折旧费用, false, store, false, , , AE2204, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10309, ASH103, 其他资产分摊, false, store, false, , , AE2200_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10317, ASH103, 办公费用合计, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
