Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AAT4010310, AAT40103, 销售人员奖金计算_基数调整, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT402, AAT4, 折旧费用工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT40201, AAT402, US GAAP折旧年限, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT40202, AAT402, US GAAP残值率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT40203, AAT402, PRC GAAP折旧年限, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT40204, AAT402, PRC GAAP残值率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT40205, AAT402, 折旧费用合计, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4020501, AAT40205, 已有资产折旧, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT4020502, AAT40205, 新增资产折旧, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT4020503, AAT40205, 大搜狐分摊折旧, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT403, AAT4, 公摊费用工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT40301, AAT403, 公司分摊公摊费用汇总, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
AAT4030101, AAT40301, 大搜狐分摊公摊费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AAT4030102, AAT40301, 汽车自有分摊公摊费用, false, store, false, , , DGPT, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT4030103, AAT40301, 其他版块分摊公摊费用, false, store, false, , , DGPT, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT40303, AAT403, 辅助编制科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4030301, AAT40303, 是否参与公摊费用分摊, false, store, false, , , , YorN, enumeration, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4030302, AAT40303, 公摊费用分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4030303, AAT40303, 参与公摊费用分摊的人数, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT404, AAT4, 汇率, false, store, false, , , , , currency, saved assumption, balance, none, none, non-expense, Plan1, true, ~
